Age,Ratings,MultipleDeliveries,RoadTrafficDensity,TimeTaken,Distance
36,5.0,0,Medium ,29,16.84993991793859
24,5.0,0,Medium ,14,6.128551257559438
25,4.7,0,High ,15,6.128684139018334
20,4.8,0,Medium ,16,13.610824622645604
24,4.6,0,Medium ,12,19.915731481046144
31,5.0,0,High ,19,6.0813891172584045
20,4.8,0,Medium ,12,13.829770499386916
37,4.7,0,High ,19,5.960345509422042
37,4.5,0,High ,19,6.039377797585062
22,4.5,0,Medium ,17,11.916575579747798
30,4.7,0,High ,16,6.218030983834399
21,4.8,0,Medium ,15,13.972036026292724
34,4.5,0,Medium ,21,16.903050893124764
31,4.6,0,Medium ,38,20.178893713604992
24,4.6,0,High ,10,6.232807161124812
38,4.9,0,Medium ,28,17.076490143678544
28,4.7,0,Medium ,17,4.527915276974994
39,4.9,0,Medium ,27,7.683556858538816
27,4.7,0,High ,15,6.119039466478772
36,5.0,0,Medium ,36,16.851359915560725
36,4.9,0,Medium ,25,12.234645516830124
25,4.7,0,Medium ,12,13.390667794608651
36,4.6,0,Medium ,18,13.406350345877184
21,4.7,0,Medium ,14,9.177805334975702
21,4.8,0,Medium ,12,6.210145663097856
34,4.2,0,Medium ,33,13.682504887236636
37,4.7,0,Medium ,16,4.537860441809634
34,4.9,0,High ,27,3.1162127424648336
36,4.9,0,High ,21,6.128684139018334
22,4.8,0,Medium ,10,19.880157869647256
29,4.8,0,Medium ,20,6.232179267591571
33,4.6,0,Medium ,18,12.116939023574089
28,4.5,0,Medium ,18,10.7567700708531
28,4.6,0,Medium ,16,12.24118114048462
34,4.9,0,Medium ,24,5.959293110303358
21,4.7,0,High ,18,6.147215319815743
26,5.0,0,Medium ,18,4.682031950679921
26,4.7,0,Medium ,17,19.35930769560607
20,4.8,0,Medium ,21,6.176431857452862
28,4.8,0,High ,12,6.128551257559438
24,5.0,0,Medium ,18,5.962202686054506
30,5.0,0,Medium ,28,10.587145367018296
35,4.6,0,Medium ,25,6.127835452686008
23,4.6,0,Medium ,11,6.210607622934835
39,5.0,0,Medium ,21,7.546267706896355
22,4.6,0,Medium ,13,17.073624953983504
35,4.8,0,High ,20,5.96904356199667
35,4.7,0,High ,28,6.146925932532219
31,4.8,0,Medium ,29,10.642283429594023
33,4.7,0,Medium ,29,17.138077427255226
27,4.7,0,Medium ,18,6.209476177433463
35,4.6,0,High ,15,6.209141643767031
38,4.7,0,Medium ,21,4.560740458833169
29,4.8,0,Medium ,13,13.766855008642874
27,4.6,0,Medium ,15,11.748234358359587
36,4.8,0,High ,21,6.049788910364693
34,4.9,0,High ,20,6.129085335042738
23,5.0,0,Medium ,15,12.29343378708805
26,4.8,0,Medium ,17,9.055848504559853
37,4.7,0,Medium ,19,6.23213948584345
32,4.6,0,Medium ,21,7.790156595549083
35,4.9,0,Medium ,25,20.17984922048671
38,4.8,0,Medium ,28,13.972194587412096
36,4.6,0,Medium ,15,9.349055143178814
37,4.8,0,High ,19,5.874112989628922
34,4.7,0,High ,20,6.147092755426114
39,4.6,0,High ,29,6.080949025020022
22,4.6,0,Medium ,10,12.162424445786696
38,4.6,0,Medium ,26,19.9161946563934
35,4.8,0,Medium ,28,6.054382229567882
28,4.7,0,High ,16,5.860576894704437
33,4.8,0,Medium ,22,6.147215319815743
29,4.6,0,Medium ,10,6.210069011377822
21,4.7,0,High ,19,1.5606207906884753
37,4.8,0,Medium ,22,5.992276328309203
21,5.0,0,Medium ,12,6.037529176605929
27,4.5,0,Medium ,15,6.232241742001687
25,5.0,0,High ,13,6.11697166963588
26,4.8,0,Medium ,18,19.89426959439532
35,4.7,0,Medium ,28,6.210061175770211
38,4.8,0,Medium ,18,17.097651549659766
30,4.8,0,High ,16,5.958965689317968
29,4.7,0,Medium ,13,6.049834151119932
39,5.0,0,High ,23,6.049834151119932
26,4.7,0,Medium ,15,10.724189701066985
29,5.0,0,Medium ,13,19.34383090803804
30,4.5,0,Medium ,16,12.352576040588678
24,5.0,0,Medium ,15,19.6178245617368
22,4.8,0,Medium ,16,10.72451774752782
30,5.0,0,Medium ,16,6.210137966185172
25,4.7,0,High ,10,6.036610249623636
23,4.6,0,High ,16,6.217860329289344
21,4.8,0,High ,16,6.242624845769171
27,4.5,0,Medium ,16,5.958965689317968
28,4.9,0,High ,18,3.020329718004485
23,5.0,0,Medium ,16,10.711185800828456
22,4.8,0,High ,17,6.0499689492240885
36,4.7,0,Medium ,16,6.217834398624596
20,4.6,0,Medium ,16,20.20622646860332
39,4.8,0,High ,21,6.147076221351196
37,4.8,0,Medium ,27,6.036610249623636
33,4.6,0,Medium ,15,16.721203191638853
28,4.7,0,Medium ,16,4.494279116694715
27,4.9,0,Medium ,10,12.419709768972952
30,4.7,0,Medium ,18,5.958759869110948
25,4.9,0,Medium ,15,10.564405614892571
39,4.6,0,Medium ,25,19.975520086141493
24,4.8,0,Medium ,11,8.940047176763544
34,4.7,0,High ,24,6.122094799826519
22,4.8,0,Medium ,15,6.14703874351021
24,4.9,0,Medium ,16,4.663600819478948
30,4.633987384377571,0,Medium ,15,10.427667505088136
22,4.8,0,Medium ,14,12.075147204092708
24,4.9,0,High ,10,3.018716904379936
38,4.6,0,Medium ,17,7.546680469425845
30,4.7,0,Medium ,22,6.232392019746196
39,4.6,0,High ,29,6.128899375015783
32,4.7,0,High ,18,6.080949025020022
20,4.5,0,High ,12,6.051989448799168
28,5.0,0,Medium ,15,12.233239995042188
20,4.9,0,High ,16,6.147076221351196
24,4.5,0,Medium ,22,6.209141643767031
23,4.6,0,High ,16,6.218001191085242
30,4.6,0,Medium ,22,6.037474189747221
39,4.6,0,Medium ,39,13.611566721969774
33,4.7,0,High ,22,6.146925932532219
38,4.7,0,Medium ,23,4.53754359877181
34,4.6,0,Medium ,19,12.16201226110637
34,4.5,0,Medium ,15,6.217932880075239
24,4.7,0,Medium ,10,7.761284984286207
39,4.8,0,High ,26,6.129183923478413
28,4.8,0,High ,13,6.176541437328103
26,5.0,0,Medium ,17,19.884318574951305
20,4.8,0,Medium ,15,13.406350345877184
26,4.9,0,Medium ,15,4.657195393355107
25,4.8,0,High ,13,6.041062443377525
29,4.6,0,Medium ,14,6.2180023477501365
37,4.5,0,Medium ,22,9.07534450207549
21,5.0,0,Medium ,11,5.958771662932936
32,4.8,0,Medium ,28,9.36393530925705
27,4.9,0,Medium ,19,19.61873934890992
26,4.8,0,Medium ,19,19.97580879170046
38,4.8,0,Medium ,28,10.808376827737591
27,4.6,0,High ,15,6.127106343237704
20,4.6,0,Medium ,18,6.210045162741394
32,4.5,0,Medium ,23,7.562069972371811
21,4.8,0,Medium ,12,13.763977224514544
35,5.0,0,Medium ,17,8.790240921176167
33,4.9,0,High ,15,6.041062443377525
26,4.8,0,High ,14,5.958965689317968
22,4.8,0,Medium ,15,10.866716057931871
34,4.8,0,High ,19,6.049834151119932
34,4.6,0,Medium ,29,19.61865601333956
34,4.5,0,Medium ,27,7.546267706896355
29,4.6,0,Medium ,10,7.646414102841871
22,4.9,0,Medium ,19,6.232472210259703
29,4.9,0,High ,18,6.210106489072753
23,4.6,0,Medium ,19,17.098196997792005
26,4.5,0,Medium ,16,7.648179253807939
31,4.6,0,Medium ,18,13.830016226876191
24,4.5,0,Medium ,20,9.176247492301016
20,4.9,0,Medium ,11,6.232177403494389
25,4.6,0,Medium ,25,10.641051310090049
21,4.6,0,Medium ,11,13.83005348000122
27,4.7,0,Medium ,29,10.7563838528217
20,4.7,0,Medium ,12,6.04007747822071
26,4.7,0,High ,12,6.081190890766407
28,4.7,0,Medium ,19,9.122105539321025
31,4.8,0,Medium ,19,4.528246577773344
24,4.7,0,High ,13,6.049788910364693
31,4.8,0,Medium ,15,9.08798010801896
31,4.6,0,Medium ,19,10.485869597006324
30,4.9,0,Medium ,19,7.448379824379684
29,4.8,0,Medium ,22,16.388699354578904
39,4.7,0,High ,18,6.21014114523549
32,4.5,0,Medium ,29,8.93752787333166
34,4.9,0,Medium ,26,20.20593639010851
31,4.8,0,Medium ,23,19.04234565779849
29,4.7,0,Medium ,12,13.765934616307272
27,4.7,0,High ,12,6.209449516511477
31,4.7,0,Medium ,29,10.562878909614245
24,4.9,0,High ,11,6.049757918881526
30,4.7,0,Medium ,21,13.972141329029723
27,4.6,0,Medium ,19,6.128639387675342
29,4.6,0,Medium ,10,6.147383752703936
28,4.6,0,Medium ,13,10.594091921900093
34,4.9,0,Medium ,24,7.683918688970688
35,4.7,0,High ,24,6.050355980443695
35,4.5,0,High ,18,5.958965689317968
33,4.6,0,Medium ,18,13.58346027224392
25,4.6,0,Medium ,12,6.050094909032637
37,4.8,0,Medium ,16,6.119039466478772
35,4.8,0,High ,20,5.9588470278914665
37,4.9,0,Medium ,17,4.528246577773344
21,4.6,0,Medium ,17,17.09838855622529
20,4.6,0,Medium ,13,12.484184857169083
20,4.8,0,Medium ,13,4.590648122869679
33,4.6,0,Medium ,16,6.049834151119932
38,4.9,0,High ,29,6.0588705156789
33,4.9,0,Medium ,28,4.674173521356697
36,4.7,0,Medium ,27,16.847895631646242
37,4.7,0,Medium ,16,4.663545219253157
33,4.8,0,Medium ,27,19.471036267159555
23,4.9,0,Medium ,21,6.0499689492240885
26,4.5,0,High ,41,6.232373129208179
37,4.7,0,Medium ,16,7.76319693275587
20,4.8,0,Medium ,16,6.054108966705526
23,5.0,0,High ,11,6.218001191085242
20,4.6,0,Medium ,22,13.97012299827187
22,4.8,0,High ,19,6.05868073148585
20,4.5,0,High ,17,6.11871184648133
34,4.9,0,Medium ,19,16.384894686693748
35,4.8,0,High ,17,6.050438649144678
25,4.5,0,Medium ,17,13.989473699050894
28,4.8,0,High ,11,6.058923147749853
39,4.7,0,Medium ,21,8.987911213666889
35,4.7,0,Medium ,18,6.209199247917889
32,4.6,0,High ,22,6.08159188470356
33,4.6,0,Medium ,27,6.17563257151605
21,4.7,0,Medium ,11,9.121421674276188
26,4.2,0,High ,43,1.5147941805488028
34,4.9,0,Medium ,35,16.601240146491758
39,4.5,0,Medium ,28,6.0811421877356615
24,4.6,0,Medium ,15,6.209250269721703
25,4.7,0,High ,10,6.218134915630699
32,4.5,0,Medium ,20,4.658009427950017
24,4.8,0,Medium ,14,9.326428318380035
34,5.0,0,High ,21,6.050103073969342
31,4.6,0,High ,24,6.081091814002105
36,5.0,0,Medium ,21,5.9590183242927965
36,4.7,0,Medium ,20,10.867473946257949
29,4.5,0,High ,11,6.232380001853704
33,4.5,0,High ,15,6.037448589749033
37,4.9,0,Medium ,21,6.210589610131653
26,4.8,0,High ,13,6.2105430334604925
33,4.7,0,Medium ,25,6.0811084845031615
32,4.5,0,High ,16,6.058848944318744
34,4.7,0,Medium ,16,6.037529176605929
34,4.7,0,Medium ,25,16.635770753510904
24,4.9,0,High ,11,6.232373129208179
29,5.0,0,Medium ,17,6.210045162741394
32,4.6,0,Medium ,21,19.91558571346105
23,4.9,0,Medium ,10,7.772466272225446
30,4.6,0,High ,16,5.8604304461066095
37,4.6,0,High ,23,6.209449516511477
27,4.6,0,Medium ,16,8.988016321806782
29,4.6,0,Medium ,13,7.448303502981425
22,4.9,0,High ,15,6.037116126989534
26,4.8,0,Medium ,19,16.368215933528393
25,4.7,0,High ,13,6.146243657709842
35,4.6,0,Medium ,21,7.325363522679441
20,4.7,0,High ,17,6.232241742001687
27,5.0,0,Medium ,15,7.562267472355833
35,4.7,0,Medium ,15,16.824331819016464
30,4.633987384377571,0,Medium ,13,9.327055824808758
37,4.8,0,Medium ,19,5.860416838048962
30,4.6,0,Medium ,25,10.724879289834991
32,4.5,0,High ,20,6.210145663097856
23,4.8,0,Medium ,24,6.051989448799168
22,4.6,0,Medium ,13,11.719960264067204
32,4.9,0,Medium ,20,6.054108966705526
23,4.9,0,Medium ,13,12.435204072626677
21,4.6,0,High ,15,6.116927321775195
38,4.8,0,High ,19,5.874630328610032
34,4.8,0,High ,23,6.040452193649447
23,4.8,0,High ,14,6.049919555382082
36,4.7,0,Medium ,21,17.07747121280975
25,4.8,0,Medium ,11,10.724960763285765
26,4.7,0,Medium ,13,6.0808829671966205
20,5.0,0,Medium ,11,17.097526527692075
29,4.8,0,High ,10,6.05399807738353
37,5.0,0,Medium ,24,17.098593053953046
27,4.8,0,Medium ,11,6.209199247917889
23,4.9,0,Medium ,17,7.64698258207176
36,4.7,0,High ,22,6.128850978309644
25,4.7,0,High ,10,6.058853850930428
30,4.8,0,Medium ,23,9.32660324001515
37,4.8,0,Medium ,22,9.081270101274336
23,4.9,0,High ,18,6.23234175499703
23,4.6,0,Medium ,12,13.18491818980388
28,4.6,0,Medium ,17,12.161517993518853
36,5.0,0,High ,21,6.23234175499703
24,4.8,0,Medium ,16,9.12135038930544
20,5.0,0,Medium ,15,4.61025475950217
39,4.8,0,High ,18,6.210589610131653
29,4.6,0,Medium ,17,6.147092755426114
28,4.6,0,Medium ,10,6.232393050098093
33,4.6,0,Medium ,23,19.76170646743437
23,4.8,0,High ,14,6.23218061179474
28,4.6,0,Medium ,13,6.081139317695677
24,4.9,0,Medium ,10,6.050486021851491
29,5.0,0,Medium ,26,10.868262820078328
22,4.5,0,Medium ,16,16.63562921856997
23,4.6,0,Medium ,15,12.4349131324917
29,4.8,0,Medium ,11,6.217860329289344
34,4.6,0,High ,22,6.146622186955208
30,4.5,0,High ,17,6.232189890331783
26,4.8,0,Medium ,15,11.748969507983118
28,4.6,0,Medium ,10,9.121089774904126
36,4.5,0,Medium ,18,9.121519226116474
34,4.9,0,High ,16,6.210169290027705
29,4.9,0,Medium ,18,4.663310851314171
38,4.9,0,High ,15,6.128551257559438
27,4.6,0,High ,11,6.081190890766407
39,4.8,0,Medium ,19,13.611337814427229
32,5.0,0,Medium ,26,6.209250269721703
32,4.5,0,Medium ,23,6.210607622934835
37,4.6,0,Medium ,27,16.902909983544582
33,4.9,0,Medium ,22,19.91468696556065
37,4.5,0,Medium ,21,6.217689155478114
32,4.9,0,Medium ,16,7.761199672754752
27,4.5,0,Medium ,13,19.883251553090453
25,4.9,0,High ,10,6.176541437328103
38,4.8,0,Medium ,22,9.08184504158609
31,4.8,0,Medium ,15,12.09937442276162
21,4.7,0,Medium ,23,4.560783590099756
30,4.5,0,Medium ,18,20.253751744854164
21,4.6,0,Medium ,20,20.18118687519753
36,5.0,0,Medium ,27,4.588321086741212
32,4.7,0,High ,16,6.0813891172584045
30,4.7,0,Medium ,20,12.41857563769642
20,4.7,0,High ,10,6.127835452686008
32,4.6,0,Medium ,17,6.080891508015064
29,4.6,0,High ,23,6.0808829671966205
24,4.6,0,Medium ,30,17.137482577885528
31,4.6,0,Medium ,25,9.326872528866826
26,4.0,0,High ,34,6.1474046527332025
26,4.9,0,Medium ,28,16.63687503880199
24,4.7,0,Medium ,13,6.218153086304595
28,4.6,0,High ,14,6.146243657709842
26,4.9,0,Medium ,26,9.122100805773137
38,4.9,0,High ,25,6.232373004842509
39,4.0,0,Medium ,48,20.20658151054029
34,5.0,0,Medium ,19,4.674151775138355
22,4.7,0,Medium ,24,10.881431822897348
21,4.7,0,Medium ,27,4.67431876124945
37,4.7,0,Medium ,40,10.868263117371315
37,4.9,0,Medium ,15,7.573467821835647
27,5.0,0,High ,24,6.217824017341541
25,4.6,0,Medium ,23,9.08111643236461
25,4.8,0,Medium ,30,20.182482607831712
34,4.9,0,High ,31,3.0256560847813363
25,4.8,0,Medium ,22,9.18115180141445
28,4.8,0,Medium ,14,6.128804223825749
31,4.8,0,Medium ,21,13.97213114305473
23,5.0,0,Medium ,34,14.021840170739395
31,4.1,0,Medium ,33,6.218134915630699
38,4.9,0,High ,25,5.958586130816646
33,4.3,0,Medium ,31,6.037118440958796
30,4.7,0,Medium ,32,6.210045162741394
21,4.9,0,Medium ,15,4.469193824736561
39,4.7,0,Medium ,18,6.14703874351021
38,5.0,0,High ,25,3.105268884198379
23,4.9,0,High ,13,6.209259882257505
24,5.0,0,High ,11,3.018906996656824
38,4.7,0,Medium ,16,8.94295430815855
38,4.2,0,High ,33,6.217689155478114
23,4.6,0,High ,21,6.128551257559438
31,4.8,0,Medium ,19,6.128684139018334
21,4.6,0,Medium ,11,5.958820916918028
36,4.9,0,Medium ,25,7.562317944931639
30,4.8,0,Medium ,22,16.38436680934262
32,4.7,0,Medium ,30,4.596701982755631
22,4.4,0,Medium ,39,16.787903106141815
21,4.9,0,Medium ,25,12.434585524695017
33,4.4,0,High ,32,5.9602651703509135
38,5.0,0,Medium ,16,7.448644515895213
27,4.9,0,Medium ,20,7.546888128409651
20,4.9,0,High ,14,5.959032639606671
24,4.9,0,Medium ,24,16.63522337695842
24,4.5,0,Medium ,25,17.097651549659766
23,4.7,0,Medium ,38,12.162115936439324
28,4.9,0,Medium ,17,7.562921044698703
35,4.7,0,Medium ,15,7.646049300587725
22,4.7,0,High ,26,6.210946742207283
27,4.8,0,Medium ,17,19.396015245559468
37,4.8,0,Medium ,32,5.958820916918028
36,4.8,0,Medium ,15,7.761780025927878
27,4.5,0,Medium ,21,7.659687719269464
31,4.1,0,Medium ,37,16.72254842086674
26,4.8,0,Medium ,16,6.127106343237704
33,5.0,0,Medium ,19,7.564859910595414
25,4.6,0,High ,19,5.860424705920016
27,4.9,0,High ,13,6.146243657709842
24,4.8,0,Medium ,15,11.71916113111818
36,4.8,0,Medium ,16,4.537418110510165
37,4.8,0,High ,28,6.217860329289344
21,4.3,0,High ,33,5.969230894211723
28,4.6,0,Medium ,10,6.0500849922173
26,4.5,0,High ,22,6.0811421877356615
32,4.6,0,Medium ,16,9.315725653209476
28,4.6,0,Medium ,23,13.97196854477091
28,4.8,0,Medium ,21,6.210607622934835
27,4.8,0,Medium ,21,6.232373004842509
34,4.9,0,Medium ,15,5.968794067737036
25,4.9,0,High ,19,6.232189890331783
37,4.9,0,High ,30,6.20882761478052
20,4.7,0,Medium ,11,9.07483668317614
32,4.5,0,Medium ,28,16.82215560890587
35,4.5,0,Medium ,28,12.484257380674745
39,4.7,0,High ,39,5.959019072198847
26,4.8,0,High ,12,6.03755793870589
30,4.7,0,Medium ,18,9.36354301860344
20,4.6,0,High ,22,6.128249797039683
33,4.5,0,Medium ,15,9.31623809800844
26,4.9,0,Medium ,16,12.236723616188968
32,4.6,0,High ,29,6.117219095447363
22,4.6,0,Medium ,25,6.0500849922173
35,4.2,0,High ,39,6.105296485152271
21,4.7,0,Medium ,13,9.07542357374812
22,4.1,0,High ,31,6.128419379138648
38,4.7,0,High ,29,6.209485214122532
32,4.9,0,Medium ,19,9.348072739966469
32,4.8,0,Medium ,28,4.6741814857537
23,4.7,0,High ,23,6.128850978309644
37,4.8,0,Medium ,20,16.852086415566685
37,4.3,0,High ,36,6.2175256052988095
28,5.0,0,High ,21,2.9795274705000714
25,4.6,0,Medium ,28,6.0499689492240885
33,5.0,0,Medium ,35,6.128899375015783
39,4.8,0,High ,34,3.121289858102041
20,4.7,0,Medium ,10,6.051989448799168
39,5.0,0,Medium ,25,6.11871184648133
38,4.7,0,Medium ,30,9.363497244779415
